Purchase ID,SN,Age,Gender,Item ID,Item Name,Price
761,Assim27,45,Male,17,"Lazarus, Terror of the Earth",1.7
248,Isursuir31,44,Male,137,"Aetherius, Boon of the Blessed",3.39
728,Chanosiaya39,44,Male,93,Apocalyptic Battlescythe,1.97
674,Aeral68,43,Male,77,"Piety, Guardian of Riddles",4
557,Frichaya88,42,Male,8,"Purgatory, Gem of Regret",3.93
341,Hiasurria41,41,Male,71,Demise,1.61
477,Mindossa76,41,Male,173,Stormfury Longsword,4.93
1,Lisovynya38,40,Male,143,Frenzied Scimitar,1.56
23,Eyrian71,40,Male,151,Severance,3.4
156,Eyrian71,40,Male,117,"Heartstriker, Legacy of the Light",1.79
220,Jiskjask85,40,Male,46,Hopeless Ebon Dualblade,1.33
480,Salilis27,40,Male,59,"Lightning, Etcher of the King",4.23
667,Inasuir29,40,Female,66,Victor Iron Spikes,4.4
195,Minduri31,39,Male,113,Solitude's Reaver,4.07
252,Tyaelo67,39,Male,92,Final Critic,4.88
516,Aidain51,39,Female,35,Heartless Bone Dualblade,3.45
517,Aerithnuphos61,39,Male,128,"Blazeguard, Reach of Eternity",4.91
648,Eustyria89,39,Male,150,Deathraze,2.85
745,Chanista95,39,Male,37,"Shadow Strike, Glory of Ending Hope",3.16
22,Siarithria38,38,Other / Non-Disclosed,24,Warped Fetish,3.81
182,Lamil79,38,Male,154,Feral Katana,4.4
217,Cosadar58,38,Male,25,Hero Cane,4.35
270,Assassasta79,38,Male,85,Malificent Bag,1.75
563,Isri34,38,Male,142,Righteous Might,2.62
660,Isri34,38,Male,103,Singed Scalpel,4.35
695,Lamil79,38,Male,111,Misery's End,4.89
747,Siarithria38,38,Other / Non-Disclosed,146,Warped Iron Scimitar,3.1
768,Assassasta79,38,Male,92,Final Critic,4.88
31,Farusrian86,37,Male,179,"Wolf, Promise of the Moonwalker",4.48
127,Lisossanya98,37,Male,102,Avenger,3.44
202,Phistym51,37,Male,82,Nirvana,4.9
208,Qilanrion65,37,Male,105,Hailstorm Shadowsteel Scythe,3.03
294,Ilirrasda54,37,Male,171,Scalpel,1.79
521,Phistym51,37,Male,50,Dawn,4.6
718,Ilirrasda54,37,Male,20,Netherbane,3.27
6,Itheria73,36,Male,169,"Interrogator, Blood Blade of the Queen",2.18
107,Tyaerith73,36,Male,99,"Expiration, Warscythe Of Lost Worlds",1.71
659,Lisassasda39,36,Male,140,Striker,2.94
738,Eusur90,36,Male,121,Massacre,1.6
753,Frichirranya75,36,Male,178,"Oathbreaker, Last Hope of the Breaking Storm",4.23
9,Chanosian48,35,Other / Non-Disclosed,136,Ghastly Adamantite Protector,3.58
14,Saesrideu94,35,Male,165,Bone Crushing Silver Skewer,4.86
142,Adastirin33,35,Female,175,Woeful Adamantite Claymore,4.48
